id,name,type,charter_year,created_at,domain,is_active
7e70b18e-bc84-4584-8476-881e53779f05,TANGAZA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
7ea9ee0f-0a32-4cb6-aae4-34f4f43599ee,KENYATTA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
7f417e0b-a9e5-4b8e-8851-353c83be8d71,UNIVERSITY OF ELDORET,University,,2025-11-24 18:49:34.678709+00,,true
82095d05-4b33-47f0-bf38-e168eb396299,HEKIMA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
8382142d-5981-42cf-8cd4-1d1947de1471,AFRICA NAZARENE UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
88306d74-1664-4ca8-9802-9ece00925e25,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,University,,2025-11-24 18:49:34.678709+00,,true
8a04b352-f59b-454a-a7b4-9df0a005cbaa,CHUKA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
8b1588f5-5fa2-428d-8c65-9fd06e441121,MANAGEMENT UNIVERSITY OF AFRICA,University,,2025-11-24 18:49:34.678709+00,,true
8c7caad4-aecb-4a78-926a-d76cecdd3530,AGA KHAN UNIVERSITY                     Executive,University,,2025-11-24 18:49:34.678709+00,,true
93859463-3876-4c37-b6ca-43496a9b624e,MOI UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
93e8ebc3-70c2-4e06-843d-136ba4eae4e3,SCOTT CHRISTIAN UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
94bcebaf-309f-4951-8d4c-443e5d4c0958,KOITALEEL SAMOEI UNIVERSITY COLLEGE,University,,2025-11-24 18:49:34.678709+00,,true
9b81d8dc-270d-4f4e-a56e-e80e2ae4a45e,THE CO- OPERATIVE UNIVERSITY OF KENYA,University,,2025-11-24 18:49:34.678709+00,,true
a0a32c69-3b78-4c76-af77-dbf629446cc6,UZIMA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
a75128f7-2a81-4905-bdd1-8863459a1406,KARATINA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
a90bb55b-fe24-48fc-8fb4-ccf4edbe594b,TOM MBOYA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
aad818aa-2632-41f3-88a2-3ea3780e0e70,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
ad5a826d-e809-4316-b2e4-ebc6bc8047aa,NATIONAL DEFENCE UNIVERSITY-KENYA,University,,2025-11-24 18:49:34.678709+00,,true
ae6c51bd-aaa4-4ffe-9357-fbc9951af9be,"NATIONAL DEFENCE UNIVERSITY, KENYA (NDU-K)",University,,2025-11-24 18:49:34.678709+00,,true
afe23a61-4731-4260-b7dd-ecfcf5cfc940,LAIKIPIA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
